"title","category","bluesky","twitter","type","did"
"Roberth Strand","azure","robstr.dev","","mvp","did:plc:6q2wimq75lsjcvnqxeab3rcu"
"Rockford Lhotka","dev","rocky.lhotka.net","rockylhotka","mvp","did:plc:d7kfxpnriig6pyi7c3pe6xw5"
"Rod Trent","security","rodtrent.bsky.social","rodtrent","microsoft","did:plc:slyb6dtlemv6ucoymlcufuan"
"Roelant Dieben","ai","roelant.info","@roelantdieben","mvp","did:plc:lg2hjf5aqgnvwg4dorjrivxd"
"Rogier Dijkman","dev","rogierdijkman.bsky.social","","mvp","did:plc:43fz32n25fl4f5rlvae3exlv"
"Ronni Pedersen","intune","ronnipedersen.bsky.social","ronnipedersen","mvp","did:plc:igy37lzy63icardta3uap43a"
"Rory Monaghan","intune","rorymon.com","rorymon","mvp","did:plc:i42algefjnjfxpznpxzn7cza"
"Rory Vossepoel",,"roryvossepoel.bsky.social","roryvossepoel","None","did:plc:ydap4g5vabm7ytz333nenrxi"
"Rob Relyea","dotnet","rrelyea.bsky.social","rrelyea","microsoft","did:plc:3i7xmfpbijbugactyvs4jlub"
"Marc Rufer","dev","rufer7.bsky.social","","mvp","did:plc:farfgp32cbgebhorh5lgmrmd"
"Ryan Lowell","azure","ryanlowellfl.bsky.social","","microsoft","did:plc:lqj6cq4gfjx73cw5jfagjdqa"
"Ryan Newington","security","ryannewington.com","ryanlnewington","mvp","did:plc:ywm3x5t2t6woxciaofzma2q3"
"Saber Karmous",,"saberone.dev","sdotone","None","did:plc:n5zdxzzelmg7g22ebweczura"
"Sam Erde","general","samerde.day3bits.com","samerde","","did:plc:n4yrsuupoqltkqscs5j6wa6i"
"Sami Lamppu","security","samilamppu.bsky.social","samilamppu","mvp","did:plc:r6nwjysemkv7cwm7oexlbkeq"
"Sam Kloos",,"samkloos.bsky.social","","None","did:plc:dx4jtydafs3fzficsyuwqtvt"
"Sam Rueby",,"samrueby.bsky.social","samrueby","None","did:plc:pe4anymmivig5g4gxjtwjdto"
"Sam Vanhoutte ","azure","samvanhoutte.bsky.social","samvanhoutte","mvp","did:plc:ufv6q4w56h3ukko6zr4qfgqy"
"Sandy Zeng","intune","sandyzeng.bsky.social","sandy_tsang","mvp","did:plc:xbj5qwl5vki46ghllo3xoeki"
"Santosh Yadav | GDE 🅰️ | GitHub ⭐ | MVP","dev","santoshyadavdev.bsky.social","santoshyadavdev","mvp","did:plc:7sagqfh4v4t6zl7bdwbikdc2"
"Sarah Young","security","sarahyo.com","_sarahyo","microsoft","did:plc:3g4boj6fp7p2qnhxlip7lgqo"
"Sascha Stumpler",,"sasstu.bsky.social","sasstu","None","did:plc:eo3xypqu7mvivcyl4frzck4m"
"John Savill","azure","savilltech.com","ntfaqguy","microsoft","did:plc:scq7triplehxa5kvlscbjgq6"
"Oli Newsham",,"scarylooking.bsky.social","","None","did:plc:shigx3k7txb6w7ozoaapxmtm"
"Jose Schenardie | MVP","intune","schenardie.bsky.social","schenardie","mvp","did:plc:k3vhszfpd33p66admmhp4i5g"
"Cristian Schmitt Nieto",,"schmitt-nieto.com","","None","did:plc:7gycz2pqrqnmwy7jm7nuomq3"
"Matt Schultz","microsoft365","schumatt.com","schumatt","microsoft","did:plc:6rpup3karq2ez4x3l4jjxud3"
"Scott Hanselman","dev","scott.hanselman.com","shanselman","microsoft","did:plc:hjx4vtoryubvqa4vy6xuliy7"
"Scott Durow","businessapps","scottdurow.bsky.social","scottdurow","microsoft","did:plc:ojkpqaf4b2grddzb5rplyrw7"
"Stefan Dingemanse","windows","sdingemanse.bsky.social","sdingemanse","mvp","did:plc:vhoaxwap6dnibge7igp7f7wb"
"Sean D Wheeler ","windows","sdwheeler.bsky.social","swsamwa","microsoft","did:plc:hh3ywvussfpmzvpkplksmyhk"
"Sean Bulger","intune","seanbulger.bsky.social","managed_blog","microsoft","did:plc:fhywj7oxql3kzi63lz47vn67"
"Sean Killeen","dotnet","seankilleen.com","sjkilleen","mvp","did:plc:ozet7mfwewusddc5nvv2k23p"
"Sébastien Levert","ai","sebastienlevert.bsky.social","sebastienlevert","microsoft","did:plc:sswjk3m6nofdvbwbdonwcihq"
"seeknay",,"seeknay.com","seeknay","None","did:plc:jmmxz6ojqc32u4ycuo4xqo75"
"seick",,"seick.bsky.social","","None","did:plc:otdtpurzlasoaln53km3nu4v"
"Sara Fennah","microsoft365","sfennah.bsky.social","sfennah","mvp","did:plc:mwqrrhvkypx7sksjls76kqrk"
"Shaun Lawrie",,"shaunlawrie.com","shaun_lawrie","None","did:plc:f3n4qddslsxatj3c4r26dbw3"
"Sascha Herbst",,"sherbst.bsky.social","saschaherbst","None","did:plc:omsta5ouxhlplvnzze5bcbvp"
"David Shiflet","data","shiflet.net","shueybubbles","microsoft","did:plc:y5pszqcnnevxtcyhsimc647w"
"Simon Allison",,"simonallisonuk.bsky.social","simonallisonuk","None","did:plc:uqvvldpmmw5vziryik3lt4j7"
"Simon Doy","microsoft365","simondoy.bsky.social","simondoy","mvp","did:plc:zc4feukkrq7sbun6dy7mtvmg"
"Simon Gottschlag","azure","simong.bsky.social","","mvp","did:plc:7szzyms5dygajpkemoyd5hrt"
"Simon Holman",,"simonholman.bsky.social","simonholman","None","did:plc:oj26k6ql7tfe6mp57jitmvsp"
"simonjhudson","microsoft365","simonjhudson.bsky.social","simonjhudson","mvp","did:plc:q7o23uu64b4lu2nz2usyxc2h"
"simonpainter.bsky.social","dotnet","simonpainter.bsky.social","@madsimonj","mvp","did:plc:qv4vjnrnub72mp2qeda3qm2a"
"Simon Waight","azure","simonwaight.bsky.social","simonwaight","microsoft","did:plc:wxsl66qetzmfhrdvgerqbiv7"
"Jeremy Sinclair #ฺNET","windows","sinclairinat0r.com","sinclairinat0r","mvp","did:plc:qkulxlxgznoyw4vdy7nu2mof"
"George Roberts",,"sirtwi.st","sirtwist","None","did:plc:7b6memckitfubsoj7pncnmez"
"James Robinson | MVP","intune","skiptotheendpoint.co.uk","skiptoendpoint","mvp","did:plc:qwjsq326qowfmzoz52r6uwbu"
"Sonia Cuff","azure","soniacuff.com","soniacuff","microsoft","did:plc:h7umuggqfvmgh6ydrulpiu44"
"Dachi Gogotchuri",,"soydachi.bsky.social","soydachi","None","did:plc:xrhybtn3ifehpdct4f2nmox4"
"Bill Ayers","microsoft365","spdoctor.bsky.social","spdoctor","mvp","did:plc:x33ezsuhroqi7scobjid5wtj"
"Nico Jacobs",,"sqlwaldorf.bsky.social","sqlwaldorf","None","did:plc:cihlq5xo3wt2jqxj2t6z7ugt"
"Sr. Cuñao",,"sr-cunao.bsky.social","sr_cunao","None","did:plc:kmdk65y5z7f4nyagneubktxy"
"Sander Rozemuller","intune","srozemuller.bsky.social","sanderozemuller","mvp","did:plc:jamouj6frjo3fhpll6xhp7qk"
"Simon Skotheimsvik","intune","sskotheimsvik.bsky.social","sskotheimsvik","mvp","did:plc:jsd42mucvn26b666i4g2yrjg"
"Srdjan Stevic",,"sstevic.bsky.social","sstevic84","None","did:plc:kwsglthuha2bkkqk2dqmh2lj"
"Stefan Stranger ","azure","sstranger.bsky.social","sstranger","microsoft","did:plc:lgkumzpuk3hcwnelyfpifzyh"
"Stacy Cashmore","azure","stacy-clouds.net","stacy_cash","mvp","did:plc:izoup72s54ql2mmgwj4f3sed"
"Ståle Hansen","microsoft365","stalehansen.coach","stalehansen","mvp","did:plc:sx5fg6jshlgk7o7agq46arih"
"Aaron Parker",,"stealthpuppy.bsky.social","stealthpuppy","None","did:plc:wqhshwcvpc7plgmnqbnw4v7d"
"Stefan Ivemo","azure","stefanivemo.bsky.social","","mvp","did:plc:7hqjr4qf56orynfmaawfwyop"
"Stefan Maron | #msdyn365bc MVP","businessapps","stefanmaron.bsky.social","stefanmaron","mvp","did:plc:5v7yvalvfj237uslteumghvd"
"Thomas Stensitzki","microsoft365","stensitzki.eu","","mvp","did:plc:74bru4qbu5fs24pqj64whhsw"
"Steve Fenton","dev","stevefenton.co.uk","","mvp","did:plc:aqrgi357dwvk42ubrggk73et"
"Steve Knutson","microsoft365","steveknutson.bsky.social","nztechtweet","mvp","did:plc:jmcagwfc3csaxumrbgtye7c4"
"Steven Giesel","dotnet","steven-giesel.com","","mvp","did:plc:psqb6t2axfd7ghloosl5bnw2"
"Steven Giesel","dotnet","steven-giesel.com","","mvp",
"Steven Lim",,"stevenlim.bsky.social","0x534c","None","did:plc:6ldydf4au7qmo7hpsuvctklf"
"Stefan Bauer","microsoft365","stfbauer.bsky.social","stfbauer","mvp","did:plc:sup4ckejixc34yyt2l2vzn4u"
"Sune Thomsen | MVP ☁️🧑‍💻☁️","intune","sunethomsendk.bsky.social","sunethomsendk","mvp","did:plc:awj2s5zut4urwjj7pxdirx4s"
"new blue sky user",,"supreme3010.bsky.social","supreme3010","None","did:plc:j5su4x227oin2jgnp6khd7fq"
"Sven Frank",,"svenfrank.bsky.social","sven_frank","None","did:plc:b662rhkja2zujhxq5ido4n2w"
"Sven Visser",,"svenv1.bsky.social","svenv__","None","did:plc:6ol7qz4jmrdp6sv352tucjg4"
"Sebastian Werner","intune","swerner.bsky.social","sebawern","microsoft","did:plc:eixwgcsnujcxwk2p634xauel"
"Marc D Anderson","microsoft365","sympmarc.com","sympmarc","mvp","did:plc:uk7qxv4ny6ubu47ks4ckcjjp"
"Taryn Pratt","azure","tarynpivots.bsky.social","tarynpivots","microsoft","did:plc:kfs2ciqbrooz64xzajjhbupv"
"Tatu Seppälä","security","tatu.seppala365.cloud","tatuseppala","mvp","did:plc:wdmet4y53odqri5lblgep4ec"
"TechbyJeff",,"techbyjeff.net","","None","did:plc:z7wbqa5v5hrzinzprtwj7psx"
"Alexandre Nédélec",,"techwatching.bsky.social","techwatching","None","did:plc:5xpnnlfa4zojegnk6awazgbx"
"Tee Earls",,"teeearls.bsky.social","teeearls","microsoft","did:plc:ix53vqsyboky2ydr3kuj72pr"
"Eugene Teo","security","temasek.org","eugeneteo","microsoft","did:plc:vt4tso3d4an5j2g54men4uvn"
"Immo Landwerth","dotnet","terrajobst.net","terrajobst","microsoft","did:plc:dyidtvrczrdyracol7td4qtf"
"Terry Lynch","modernwork","terryjlynch.bsky.social","terryjlynch","microsoft","did:plc:vsevlcj67v4xp6xmio3sakww"
"Excel Cookbook",,"theexcelcookbook.bsky.social","excel_cookbook","None","did:plc:2mxtgq2wzevanyd5mhwcqhfo"
"Nick Randolph","dev","thenickrandolph.bsky.social","thenickrandolph","mvp","did:plc:mc2rsgu632tmfj44xgf5afgn"
"Donna Ryan","microsoft365","thenotoriousdrr.bsky.social","thenotoriousdrr","microsoft","did:plc:gf5rxtxcs2ehwwxc4qisj3ic"
"Cameron Presley","dev","thesoftwarementor.com","pcameronpresley","mvp","did:plc:kwe76brr3vbwvu4ifgz64nt4"
"Chris Blackburn",,"thetootall.bsky.social","","None","did:plc:4s4wo3evcitq7uelafwmlxyd"
"Thirdtier.net - Amy","microsoft365","thirdtier.bsky.social","thirdtier","mvp","did:plc:etblriouhrvhqmyeibcpbm4l"
"Thomas Vochten","microsoft365","thomasvochten.com","thomasvochten","mvp","did:plc:oioygylnlu4cek7jvnd5s2nm"
"Thomy Goelles","microsoft365","thomyg.bsky.social","thomyg","mvp","did:plc:bl33zi44lrxjzew4bzv3gsg2"
"Tiago Costa",,"tiagocosta.bsky.social","tiagocostapt","None","did:plc:3rbs2ol7robzxtqgs44ewnny"
"Tim Deschryver","dotnet","timdeschryver.dev","","mvp","did:plc:v7uubyblvslvage4cnlfcjip"
"TimDKBE","intune","timdkbe.bsky.social","timdk_be","mvp","did:plc:sorq26twz5olgqbkwprm2epg"
"Tim","dotnet","timheuer.com","timheuer","microsoft","did:plc:ap4vaag7mn25sooukg5uvi22"
"Tim Wappat",,"timwappat.info","timwappat","None","did:plc:3xg6klwk5tgabjjcjkclazuj"
"TitleOS",,"titleos.dev","xb1_hexdecimal","None","did:plc:rhxzb34vaz47vpnmfwf4skqz"
"Tim Mulholland","dev","tlmii.net","tlmii","microsoft","did:plc:wueb7lpzlwrgnkh4z6p77vmw"
"Tim Mitchell",,"tmitch.bsky.social","tim_mitchell","None","did:plc:ogxc6m7gs53sr3v3udkpo3gc"
"Tore Nestenius",,"tndata.bsky.social","tndata","None","did:plc:7rwzgsgcmah3zw6x4wn22lva"
"Tobias Fenster","azure","tobiasfenster.io","tobiasfenster","mvp","did:plc:e6dbkqufnaoml54hrimf4arc"
"Tom Aafloen",,"tomaafloen.bsky.social","tomaafloen","None","did:plc:yr23n5yi4445yvuf6vf3u3sf"
"Tom Canter","ai","tomcanter.bsky.social","tomcanter","microsoft","did:plc:uym4gwclfh44igyzozlyjljt"
"Tomomi Imura","microsoft365","tomomi.bsky.social","girlie_mac","microsoft","did:plc:orzzden7zivpkpwk5io7vwbh"
"Tamás Deme ‘tomzorz’","windows","tomzorz.me","tomzorz_","mvp","did:plc:oggqzdzgsaesyi3aushvukzi"
"Tonya Bricco-Meske, Microsoft MVP","businessapps","tonyabm.bsky.social","tonyabm_","mvp","did:plc:mjsp3jvyrok2avr5wt6ocoyg"
"Tony Redmond","microsoft365","tonyredmond.bsky.social","12knocksinna","mvp","did:plc:jnojxkxptb32knzz2lhxatci"
"Remo Glanzmann",,"totaldigital.bsky.social","r_glanzmann","None","did:plc:spounagc2yqitm7ziav2jmpm"
"Thorsten Pickhan","microsoft365","tpickhan.bsky.social","tpickhan","mvp","did:plc:e5xvhlopaervuv5irgjpw43u"
"Tom Plant",,"tplant.com.au","pl4nty","None","did:plc:i2gbqk437noausnoo2k2yy7a"
